[2026-06-12T12:56:03.291+08:00] no cache file found, path: /home/cahya/2026/Smara CLI/web/midscene_run/cache/smara-web.spec.ts(Midscene-can-inspect-Smara-web-through-Playwright-fixture).cache.yaml
[2026-06-12T12:59:58.794+08:00] no cache file found, path: /home/cahya/2026/Smara CLI/web/midscene_run/cache/smara-web.spec.ts(Midscene-can-inspect-Smara-web-through-Playwright-fixture).cache.yaml
[2026-06-12T13:00:08.334+08:00] no cache file found, path: /home/cahya/2026/Smara CLI/web/midscene_run/cache/smara-web.spec.ts(Midscene-can-inspect-Smara-web-through-Playwright-fixture).cache.yaml
[2026-06-12T13:01:24.332+08:00] no cache file found, path: /home/cahya/2026/Smara CLI/web/midscene_run/cache/smara-web.spec.ts(Midscene-can-inspect-Smara-web-through-Playwright-fixture).cache.yaml
[2026-06-12T13:45:51.999+08:00] no cache file found, path: /home/cahya/2026/Smara CLI/web/midscene_run/cache/smara-web.spec.ts(Midscene-can-inspect-Smara-web-through-Playwright-fixture).cache.yaml
[2026-06-12T13:50:18.638+08:00] no cache file found, path: /home/cahya/2026/Smara CLI/web/midscene_run/cache/smara-web.spec.ts(Midscene-can-inspect-Smara-Parallel-Agent-UI-through-Playwright-fixture).cache.yaml
[2026-06-12T13:50:32.477+08:00] no cache file found, path: /home/cahya/2026/Smara CLI/web/midscene_run/cache/smara-web.spec.ts(Midscene-can-inspect-Smara-Parallel-Agent-UI-through-Playwright-fixture).cache.yaml
[2026-06-12T13:50:56.981+08:00] no cache file found, path: /home/cahya/2026/Smara CLI/web/midscene_run/cache/smara-web.spec.ts(Midscene-can-inspect-Smara-Parallel-Agent-UI-through-Playwright-fixture).cache.yaml
[2026-06-12T13:51:46.161+08:00] no cache file found, path: /home/cahya/2026/Smara CLI/web/midscene_run/cache/smara-web.spec.ts(Midscene-can-inspect-Smara-Parallel-Agent-UI-through-Playwright-fixture).cache.yaml
[2026-06-12T13:53:28.524+08:00] no cache file found, path: /home/cahya/2026/Smara CLI/web/midscene_run/cache/smara-web.spec.ts(Midscene-can-inspect-Smara-Parallel-Agent-UI-through-Playwright-fixture).cache.yaml
[2026-06-12T13:53:41.567+08:00] no cache file found, path: /home/cahya/2026/Smara CLI/web/midscene_run/cache/smara-web.spec.ts(Midscene-can-inspect-Smara-Parallel-Agent-UI-through-Playwright-fixture).cache.yaml
[2026-06-12T13:53:53.603+08:00] no cache file found, path: /home/cahya/2026/Smara CLI/web/midscene_run/cache/smara-web.spec.ts(Midscene-can-inspect-Smara-Parallel-Agent-UI-through-Playwright-fixture).cache.yaml
[2026-06-12T13:57:40.911+08:00] no cache file found, path: /home/cahya/2026/Smara CLI/web/midscene_run/cache/smara-web.spec.ts(Midscene-can-inspect-Smara-Parallel-Agent-UI-through-Playwright-fixture).cache.yaml
[2026-06-12T13:58:05.646+08:00] no cache file found, path: /home/cahya/2026/Smara CLI/web/midscene_run/cache/smara-web.spec.ts(Midscene-can-inspect-Smara-Parallel-Agent-UI-through-Playwright-fixture).cache.yaml
